date,temp_max,temp_min,wind_speed,pressure,dew_point,relative_humidity,pm25
2022-12-28,17.1,7.2,6.3,962.3,9.1,83.0,132.0
2022-12-29,17.6,6.7,4.9,964.4,9.4,81.0,155.0
2022-12-30,20.5,8.4,4.0,964.2,8.6,73.0,117.0
2022-12-31,19.5,9.1,4.1,963.7,8.8,73.0,99.0
2023-01-01,19.8,9.7,4.4,965.4,9.8,75.0,96.5
2023-01-02,19.8,7.5,4.0,965.8,8.4,75.0,94.0
2023-01-03,20.1,6.8,4.3,965.4,7.2,72.0,86.0
2023-01-04,19.0,6.7,4.5,965.1,6.6,71.0,76.0
2023-01-05,20.3,7.2,4.0,966.4,5.1,61.0,73.0
2023-01-06,23.6,8.9,4.6,965.5,3.5,47.0,76.0
2023-01-07,23.8,9.7,5.5,963.6,2.0,41.0,72.0
2023-01-08,22.6,9.2,4.0,963.3,2.8,46.0,66.0
2023-01-09,22.6,8.8,3.6,964.2,4.6,47.0,57.0
2023-01-10,22.2,9.5,4.5,961.8,6.4,57.0,59.0
2023-01-11,20.7,9.5,5.0,960.4,6.1,59.0,75.0
2023-01-12,21.5,8.0,3.9,958.5,6.4,61.0,78.0
2023-01-13,21.1,9.8,6.0,959.2,5.6,56.0,82.0
2023-01-14,21.7,8.9,7.5,958.7,7.0,62.0,67.0
2023-01-15,18.2,9.2,5.5,959.1,10.9,86.0,97.0
2023-01-16,17.3,9.5,4.3,960.8,9.4,82.0,103.0
2023-01-17,17.5,7.0,4.1,961.8,8.8,80.0,108.0
2023-01-18,17.7,8.4,4.3,963.6,7.7,73.0,105.0
2023-01-19,18.4,6.7,4.8,963.5,7.8,74.0,114.0
2023-01-20,19.7,9.5,3.8,962.8,8.3,63.0,107.0
2023-01-21,22.3,10.4,7.3,961.1,6.1,54.0,83.0
2023-01-22,22.9,9.5,5.6,961.1,8.1,59.0,102.0
2023-01-23,23.8,11.1,5.9,960.5,7.0,51.0,120.0
2023-01-24,22.7,10.6,4.6,962.0,10.2,63.0,125.0
2023-01-25,23.6,13.5,5.6,960.7,9.9,63.0,116.0
2023-01-26,23.5,13.2,7.0,960.3,9.2,57.0,79.0
2023-01-27,25.9,13.3,7.2,960.1,7.0,49.0,51.0
2023-01-28,20.7,10.8,4.0,960.4,9.8,68.0,73.0
2023-01-29,23.7,9.8,5.4,961.7,9.9,64.0,76.0
2023-01-30,25.7,12.8,4.3,962.2,9.4,57.0,81.0
2023-01-31,26.5,12.5,8.3,959.5,7.4,50.0,65.0
2023-02-01,22.8,12.0,4.9,960.0,11.0,70.0,70.0
2023-02-02,21.0,11.7,4.3,961.2,10.4,71.0,72.0
2023-02-03,23.8,10.9,4.7,959.9,11.1,73.0,74.0
2023-02-04,22.9,10.6,4.9,958.3,12.1,73.0,81.0
2023-02-05,22.8,9.8,5.3,958.3,11.1,75.0,95.0
2023-02-06,23.3,10.1,5.7,957.4,11.2,73.0,115.0
2023-02-07,23.6,10.1,5.4,956.9,10.5,70.0,112.0
2023-02-08,22.9,10.3,5.1,958.4,10.2,69.0,94.0
2023-02-09,22.2,10.3,5.0,959.6,10.3,71.0,96.0
2023-02-10,23.1,10.3,4.9,959.2,11.1,72.0,98.0
2023-02-11,25.8,13.5,6.4,958.9,11.2,64.0,100.0
2023-02-12,24.5,8.4,8.2,958.0,6.7,53.0,102.0
2023-02-13,20.2,8.8,5.5,959.2,5.6,58.0,82.0
